"","location_type","offence","occurrencehour","occurrenceday","occurrencedayofweek","Neighbourhood"
"201","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",22,31,"Friday","Moss Park"
"202","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Mugging",16,1,"Wednesday","LAmoreaux"
"203","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Other",21,1,"Wednesday","Rouge"
"204","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Mugging",9,2,"Thursday","West Hill"
"205","Bank And Other Financial Institutions (Money Mart, Tsx)","Robbery - Financial Institute",12,2,"Thursday","Yonge-Eglinton"
"206","Gas Station (Self, Full, Attached Convenience)","Robbery - Swarming",15,2,"Thursday","Kingsview Village-The Westway"
"207","Convenience Stores","Robbery With Weapon",16,2,"Thursday","Church-Yonge Corridor"
"208","Convenience Stores","Robbery - Business",16,2,"Thursday","Church-Yonge Corridor"
"209","Bank And Other Financial Institutions (Money Mart, Tsx)","Robbery - Financial Institute",14,2,"Thursday","Hillcrest Village"
"210","Ttc Bus","Robbery - Mugging",7,3,"Friday","Humbermede"
"211","Apartment (Rooming House, Condo)","Robbery - Mugging",3,3,"Friday","West Hill"
"212","Apartment (Rooming House, Condo)","Robbery - Other",16,3,"Friday","North St.James Town"
